z,ObjID,cmodelMag_u,cmodelMag_r,ra,dec,absMagR
0.02879304,1237651821638910330,19.5824,17.75311,223.443213352124,3.10182527162997,-18.7416
0.0296137,1237651822173487316,17.90064,15.79724,218.244852479668,3.89550277902578,-20.625
0.02886124,1237651822173618460,18.3337,16.70237,218.56513446345,3.83143310811924,-18.4069
0.0286534,1237651822710948065,18.04763,15.75778,219.644117718292,4.29426895173849,-20.9341
0.02835081,1237664852034912407,18.49518,17.38104,218.519528199565,31.5941865304305,-16.9697
0.02874816,1237652599027139019,20.08714,17.58479,318.602840182973,-7.4339148450141,-18.5774
0.02883084,1237652599027597486,17.52405,14.30547,319.566913070406,-7.58551810584358,-22.8367
0.02870482,1237652600097276470,18.57283,16.03313,310.491410469731,-5.55187786594666,-21.3192
0.02850406,1237671123767853380,19.28311,16.72161,151.759136788625,14.3587601092737,-19.6071
0.02833447,1237671139872276673,17.92381,16.79849,179.239567081329,3.28059701230611,-17.3566
0.02863073,1237657402417021104,17.99963,16.4071,132.327524936348,41.7650891917588,-18.9293
0.02886716,1237657402417021112,16.79043,14.69448,132.356131099788,41.771280953168,-21.8082
0.02965891,1237653440300187715,19.26183,17.00666,349.752899457267,-10.5427590777404,-19.2929
0.02832006,1237662236396683371,17.13294,14.94837,194.281401549735,8.87570216363769,-20.7725
0.0285651,1237653616398958722,18.39004,16.98809,168.073588897432,60.3068618012155,-17.8513
0.02851516,1237653665261945079,18.84036,17.45438,157.002443884003,2.57061077199447,-16.872
0.02831688,1237662197744271579,18.89722,16.60982,221.988498461417,8.80429749363731,-19.6615
0.02838179,1237667429553078552,16.85853,15.23359,132.073652868788,16.9592776783917,-19.6435
0.02845957,1237654381975437517,19.38498,17.69684,131.566477866541,48.3220199247123,-18.8798
0.02959492,1237654381975437534,17.57351,15.36942,131.629136823624,48.3026106418303,-20.9458
0.02887267,1237654381982908501,16.51144,13.76571,154.834697482855,58.5036231764742,-23.7799
0.02852793,1237654600492777631,16.58996,14.45774,157.174580610627,3.6777329897527,-21.3975
0.02930493,1237654600497365220,18.74438,16.96158,167.674516319381,3.96247850917582,-18.6125
0.0288934,1237654601570189406,18.80908,17.19765,165.610387231455,4.89193777779111,-18.0476
0.02861125,1237654604775948619,17.44024,15.64841,130.595596703469,2.49732730127489,-20.0801
0.02868776,1237650369406631962,17.1306,14.77901,176.371716779878,-3.51844819825732,-21.8085
0.02847137,1237658493871652949,16.88761,15.18065,137.745000200816,7.87191617935695,-20.8807
0.02836086,1237667444041908330,18.77719,17.46989,177.459471770674,27.9383076778413,-18.2319
0.02879368,1237654605864632577,18.57624,17.08777,164.773171308619,5.02797970633274,-18.4166
0.02847847,1237667444042236046,17.32975,16.12035,178.293549320681,28.0328454124238,-19.3249
0.02858323,1237654652032516161,16.21043,13.40566,139.19912994603,49.7804502182329,-22.6996
0.0286012,1237654652032516310,19.57436,17.68516,139.241098123315,49.7172230979228,-18.5437
0.02891477,1237650797287768118,16.91957,14.97982,132.441002131805,1.01052724528701,-20.4946
0.02845521,1237667448885412031,18.31312,17.16063,205.413023792946,24.8224011856922,-17.5185
0.02886155,1237654670812774549,19.23766,17.34894,157.855157311409,0.43877316741117,-17.2916
0.0286682,1237654670812774584,15.6726,13.58429,157.896518482969,0.475363840061497,-23.3696
0.02877062,1237654879128060268,18.30844,16.65521,218.66017424828,3.18712733315752,-20.4439
0.02847803,1237667486455169265,18.42013,16.86873,136.033086285945,17.4412144115896,-18.5467
0.02848364,1237667538001985912,17.8274,16.5174,137.508572879826,17.5755898337403,-18.9929
0.02835998,1237656530529747309,16.82968,15.02122,263.009644523657,59.4516672524511,-20.1963
0.02884392,1237654948372480305,18.72295,17.28366,225.528474111696,60.5736212270322,-18.5667
0.02864845,1237655106763554934,18.90672,17.03912,168.583692854801,57.7940304800807,-19.6668
0.02851393,1237655107828973746,17.24563,15.88983,138.937298151668,49.7793230569066,-19.0504
0.02877047,1237651250967412743,18.99967,17.62819,211.814228104791,62.390954602806,-17.1807
0.02885182,1237655373573193928,19.10105,17.55865,247.574582098887,40.6025703279332,-17.5135
0.02864611,1237655468598558822,17.85313,15.30454,227.645113435141,1.50842751119749,-20.9477
0.0283652,1237667735594074508,18.79449,17.27926,213.172898094474,20.3594106401156,-19.091
0.02874095,1237658802040733821,19.42968,17.25888,195.871611351966,54.6715572905099,-18.8227
0.02901674,1237651271891091570,17.97039,16.89684,140.064514781766,58.6881585482098,-17.5
0.02912236,1237651272961556637,19.25531,17.11927,129.479413505374,53.8379551695345,-19.6139
0.02876783,1237658803108577303,16.61245,14.07514,172.34495986827,55.3184708086647,-22.4096
0.02951214,1237651272961622182,19.42557,17.11545,129.515254850069,54.1117668478305,-19.981
0.02833282,1237667910604161142,18.88378,17.5343,211.921634229555,21.7520637243507,-17.7486
0.02957661,1237651539262636104,17.94462,15.52698,242.703611733122,52.6331967191996,-20.9369
0.02882069,1237655744551125105,16.08117,14.20409,214.404566640797,7.05499751510574,-22.9105
0.0295054,1237651737388187896,19.38939,17.62803,227.186197344737,2.5088959879564,-18.9698
0.02914836,1237651753463971985,17.25508,15.82416,158.361048904443,1.84002345451031,-19.6171
0.0284774,1237668331491819552,16.84796,14.0865,221.785359197358,13.6547223189424,-22.4738
0.02935469,1237651821637533939,19.5231,17.64535,220.257677031252,3.31215048209928,-19.8723
